Manx,English,Notes,Date,Source
"slieggan slieau, sleggan slieau, slegon slieau, slaghan shlieau, slingan slieau, slian slieau, slang y slieau, claggan slieau",foxglove,,09/11/1901,Isle of Man Examiner
,"[25] MANX FISHING - BOAT NAMES [10]. I have collected a number of old Manx names given by the fishermen to their boats, which are both interesting and instructive. I hope others may add to the list. The names come from the south-east of the Island :— ","[10] IoME, Sat, Nov 16, 1901; P:5",16/11/1901,Isle of Man Examiner
Collagh vuck ,Boar,,16/11/1901,Isle of Man Examiner
Muck vooar,big pig,,16/11/1901,Isle of Man Examiner
Muck veg,little pig,,16/11/1901,Isle of Man Examiner
Loayr ghoal,blind mare,,16/11/1901,Isle of Man Examiner
Molt,wether,,16/11/1901,Isle of Man Examiner
Cabbyl shuttle,shuttle horse,,16/11/1901,Isle of Man Examiner
Thollag faiyr ,tit-mouse,,16/11/1901,Isle of Man Examiner
Guiy niinnagh,nippy goose,,16/11/1901,Isle of Man Examiner
Shellan tarroogh ,busy bee,,16/11/1901,Isle of Man Examiner
Shellan mill,honey bee,,16/11/1901,Isle of Man Examiner
Kishan shellan,beehive,,16/11/1901,Isle of Man Examiner
Colmane,dove,,16/11/1901,Isle of Man Examiner
Beisht y Kione Dhoo,The Beast of Black Head,,16/11/1901,Isle of Man Examiner
Glashtin mooar ,Big glashtin,,16/11/1901,Isle of Man Examiner
Glashtin. beg,Little glashtin,,16/11/1901,Isle of Man Examiner
Ben-rein fairish ,Fairy queen,,16/11/1901,Isle of Man Examiner
Buggane y Smelt - ,The Buggane of the Smelt,,16/11/1901,Isle of Man Examiner
Bill ny fairishyn ,fairy Bill,,16/11/1901,Isle of Man Examiner
Kione mooar,big head,,16/11/1901,Isle of Man Examiner
Jenny stoamey— ,bonny Jane,,16/11/1901,Isle of Man Examiner
Ben aeg stoamey— ,bonny lass,,16/11/1901,Isle of Man Examiner
Kitty Balda—,Kitty of Balda,,16/11/1901,Isle of Man Examiner
Kerry thoin mooar,big-backed [big bottom] Katherine ,,16/11/1901,Isle of Man Examiner
Guilley mie,favourite.,,16/11/1901,Isle of Man Examiner
Breeshyn yn Joan Doghernee,John Doghernee's breeches.,,16/11/1901,Isle of Man Examiner
Baatey yn clieau ,[the] mountain boat.,,16/11/1901,Isle of Man Examiner
Baatey chirrym,dry boat,,16/11/1901,Isle of Man Examiner
Billey feeyney ,vine tree,,16/11/1901,Isle of Man Examiner
Corlhea,[the name of a farm],,16/11/1901,Isle of Man Examiner
Buinney cabbash— ,cabbage stalk,,16/11/1901,Isle of Man Examiner
Collagh sniper,the snipe fish; [11],[11] “when they made sharp bows in the boats they called them sniper bows.”,16/11/1901,Isle of Man Examiner
Smugler mooar— ,big smuggler,,16/11/1901,Isle of Man Examiner
Boteil- ,bottle,,16/11/1901,Isle of Man Examiner
Clep,boat-hook,,16/11/1901,Isle of Man Examiner
Lhiattee yiarn ,Iron-side.,,16/11/1901,Isle of Man Examiner
Trattley,the name was ‘Australia’ but pronounced ‘Trattley’ by the owner.,,16/11/1901,Isle of Man Examiner
,[26.] AN OLD MANX HARVEST RHYME.,,16/11/1901,Isle of Man Examiner
"Ta mee er shleeu[12] my corran dy-geyre, ","I have whetted my sickle sharp, ","[12] er shleeu] ‘whetted’ / ‘honed’. In the origianl text [shleeuit] — an error as a verb is required here. In the 1904 reprint of Manx Notes and Quieries this was changed to [er leeu], which seems to be a typo [er shleeu].",16/11/1901,Isle of Man Examiner
"Dy ghiarrey yn coonlagh marish yn faiyr, ","To cut the straw- and the grass, ",,16/11/1901,Isle of Man Examiner
"Dy laboragh fo chiass yn ghrian, ","To toil under the heat of the sun, ",,16/11/1901,Isle of Man Examiner
"Gollish myr dy beign ’sy cheayn, ","Sweating as if I was in the sea, ",,16/11/1901,Isle of Man Examiner
"Dy chart ny bunneeyn fo haiee, ",That I may get the sheaves under the kiln. ,,16/11/1901,Isle of Man Examiner
As paart dy lhie er yn laare-vooiee. ,And some laid on the threshing floor.,,16/11/1901,Isle of Man Examiner
,[27] THE MERMAN.,,16/11/1901,Isle of Man Examiner
"Tra veagh ad fakin eh, veagh ad jannoo braghtan dy arran corkey as eeym, as ceau magh eh. ",When they saw him they made a cake of oaten bread and butter and threw it out. ,,16/11/1901,Isle of Man Examiner
"Ta mee cr clashtyn jeh dooinney ren cheet er unnane jeu er y traie, as ren eh coyrt eh ayns yn cheayn reesht; ","I have heard of a man that came on one of them on the shore, and put him in the sea again ; ",,16/11/1901,Isle of Man Examiner
"ny lurg shen, tra veagh sterrym er gerrey, veagh yn pohllinagh çheet dy chur raaue da, as cha row eh goit ayns sterrym, choud as ve gholl gys yn cheayn.","after that when there was a storm near, the merman was always coming to inform him, and he was not caught in a storm as long as he went out to sea.",,16/11/1901,Isle of Man Examiner
,[28] FRAGMENT OF AN OLD SONG.,,16/11/1901,Isle of Man Examiner
"Ta’n ushag veg ruy ersooyl gys y chrouw, ","The little brown bird has gone to the bush, ",,16/11/1901,Isle of Man Examiner
Ny eayin gys ny moiraghyn roie.,The lambs to their mothers now run. ,,16/11/1901,Isle of Man Examiner
"Ta’n oie er yn aarkey lesh co caslys grouw,",The night on the ocean appears gloomy. ,,16/11/1901,Isle of Man Examiner
