Speaker,Manx,English,SubStart,SubEnd,Notes,ManxColumnLanguage
WC,Mmm.,Mmm.,406.6,407,,
JTK,"Son va clag faagit ayns y, ayns y shenn, well, shenn skeeill [sic = keeill], as eisht v'ad bwoalley yn clag ayns y shenn, as v'ad freayll schoill ayns y, ayns y, v'ad freayll, preacheil ayns y thie schoill.","For the bell was left in the, in the old, well, old church, and then they'd ring the bell in the old, and they'd keep school in the, in the, they'd keep, preach in the school house.",406,423.5,,
WC,Oh row?,Oh were they?,423,424.5,,
JTK,"Va. V'ad, v'ad, v'ad freayll preacheil ayns y thie-schoill tra v'ad jannoo yn keeill noa.","Yes. They'd, they'd, they'd keep preaching in the school house when they were making the new church.",424.5,432,,
WC,Hmm.,Hmm.,431.4,432,,
JTK,"As ren ad cur erm, tax er, as va'n tax, va'n tax ro eddrym.","And they put erm, tax on it, and the tax was, the tax was too light.",432,441.7,,
WR,Ro eddrym.,Too light.,441.2,443,,
JTK,"Ro eddrym. Cha row dy liooar argid currit er. As cha row ad abyl dy geddyn, yn, yn, keeill, va'n keeill jeant as va paart jeh'n, paart jeh'n steeple jeant, as cha row argid oc dy jannoo, jannoo yn ny sodjey, ny foddey, eisht v'ad foarst faagail eh. As ren ben, ben, err, Ed, Edward Farrant ...","Too light. Not enough money was put on it. And they weren't able to get the, the, church, the church was made and some of the, some of the steeple was made, and there wasn't enough money to make, the any more, then they had to leave it. And Edward Farrant's wife did ...",442.4,471,,
WR,"Ben Edward Farrant, she ta mee er clashtyn ...","Edward Farrant's wife, yes I have heard ...",470,474,,
JTK,"Ben, ben hug ben Edward Farrant ren eh, ren shee jannoo yn keeill ayn. Ren shee jannoo, ren shee ...","The wife, the wife of Edward Farrant gave, she did it, she made the new church. She made, she ...",472,482,,
WR,"Ren i-, ren i-, ren y ven shen cur yn argid son ...","That, that woman gave the money for ...",481,484.6,,
JTK,... neesht son buildey yn ...,... too for building the ...,484,486,,
WR,"... son troggal yn, yn ...","... for building the, the ...",486,488,,
JTK,"... troggal yn, ...","... building the, ...",487.1,489,,
WR,"... yn s-, yn speeikeen.","... the s-, the steeple.",488,490,,
JTK,"... yn stee-, stee- err ...","... the stee-, stee- of the steeple.",489,491.3,,
WR,Mmm.,Mmm.,491,491.5,,
JTK,"... jeh yn, yn steeple.",,491.5,494,,
WR,"As, as thie yn saggyrt neesht.","And, and the minister's house too.",493,495.3,,
JTK,"Yn thie yn saggyrt neesht, ren shee jannoo ooillley, ooilley y thieyn, thieyn, as, as va'n thie yn saggyrt v'eh err, v'eh belongin, dys err hene, dys ben Farrant.","The minister's house too, she made all, all the houses, houses, and, and the minister's house it was err, it was belonging, to herself, to Farrant's wife.",495,509.2,,
WR,Oh?,Oh?,508.3,510,,
WC,Oh?,Oh?,508.3,510,,
JTK,"As ren, as ren ee cur eh, cur eh ooilley dys y keeill.","And she, she gave it, gave it all to the church.",509,513,,
DF,Hmm.,Hmm.,513,513.6,,
JTK,Faagail ooilley.,Left it all.,513,515,,
DF,Hmm.,Hmm.,514.3,515.3,,
JTK,"As tra hooar shee baase v'ee, v'ee, err v'ee feme dy liooar jeh. Feme dy liooar jeh ooilley yn argid.","And when she died, she was, she was, err, she was quite in need of it. Quite in need of all the money.",514.8,522.8,,
WR,"She ta mee er clashtyn nagh row monney argid eck tra v'ee, tra v'ee shenn.","Yes, I have heard that she didn't have much mone when she was, when she was old.",522.3,527,,
JTK,"Oh, cha row, oh, cha row monney argid eck tra hooar shee baase edyr.","Oh, she didn't, oh she didn't have much money when she died at all. ",524,530,,
DF,Hmm.,Hmm.,529,530,,
JTK,"Oh ah, ah, v'ee mie, oh v'ee mie, v'eh mie son ren ad, ren shee jannoo ooilley but v'eh argid dy liooar ec y traa shen.","Oh ah, ah, she was good, she was good, it was good because they, she did it all but it was a lot of money at that time.",529.6,540,,
WR,Ec y traa shen as ...,At that time and ...,539,541,,
JTK,Oh v'eh argid dy liooar.,Oh it was a lot of money.,540,542,,
WR,"Hmm, hmm.","Hmm, hmm.",541,542.3,,
JTK,"But cha, cha row shee poo-, cha s'aym's cha row shee, cha row shee, va shee, cha row shee poost traa shen edyr.","But she wasn't mar-, I don't know if she was, she was wasn't, she wasn't, she wasn't married that time at all.",541.4,551,,
WR,Cha row?,She wasn't?,550.4,551.5,,
JTK,"Cha row, cha row.","No, no.",551.3,553,,
WR,Hmm.,Hmm.,552,553,,
JTK,"Oh cha row shee, cha row shee poost, va shee, va'n, lurg shen ren shee geddyn, geddyn poost.","Oh she wasn't, she wasn't married, she was, it was, after that she got, got married.",552.3,559,,
DF,Hmm.,Hmm.,558.8,560,,
WR,"Hmm. Ta, va shen mummig E. B. C Farrant t'ayn nish, n-, nagh row?","Hmm. Yes, that was the mother of the E. B. C. Farrant who's here now, wasn't it?",558.3,565,,
JTK,"Va, mummig yn, err, mummig yn fer aeg, cha nee mummig y fer ta baghey ayns Rhumsaa edyr.","Yes, the mother of, err, the mother of the young fellow, not the mother of the fellow who lives in Ramsey at all.",566,574,,
WR,Oh nagh vel?,Oh wasn't it?,573.4,576,,
JTK,"Va, va shen oh, yeah va, mummig yn fer ta baghey ayns Rhum- Rhumsaa neesht.","Yes, that was on, yeah it was, the mother of the fellow who lives in Ram- Ramsey too.",575,583,,
WR,"As, as, as, as t'ayns y, y Kiare as Feed?","And, and, and, and who is in the, the House of Keys?",580.5,585,,
JTK,"Yeah, yeah, yeah, yeah, ayns y Kiare as Feed ...","Yeah, yeah, yeah, yeah, in the Keys.",585,588.5,,
WR,Ta.,Yes.,588,589,,
JTK,"Yeah, va mummig ayns shen neesht.","Yeah, mother was there too.",588,590.6,,
WC,Hmm.,Hmm.,590,591,,
JTK,"Oh t'ad, oh t'ad poost, now, t'ad poost, t'ad poost, three-feed blein as jeih.","Oh they are, they are married, now, they are married, seventy years.",594,604.5,,
WR,Vel?,Are they?,604,605.5,,
JTK,"Ren shee, yn, yn, yn keayrt, yn traa shen, hoshiaght yn traa shen hooar shee poost, ren shee geddyn poost, v'ee three-feed as blein as jeih aght erbee.","She, the, the, the time, that time, first that time she got married, she got married, she was seventy years any way.",604,617,,
WC,Hmm.,Hmm.,616.5,619,,
WR,"Hmm, hmm.","Hmm, hmm.",616.5,619,,
DF,Mmm.,Mmm.,619,620,,
WR,"Cha row yn shenn cheeill, um, cha row yn, yn keeill noa troggit, ayns y boayl cheddin as va'n shenn cheeill.","The old church wasn't, um, the new church wasn't built, in the same place as the old church.",619,629,,
JTK,"Oh, oh no, va'n shenn skeeill [sic] va'n shenn keeill ayns mean y err ...","Oh, oh no, the old church, the old church was in the middle of the err ...",627,634,,
WR,Ayns mean y rhullick.,In the middle of the graveyard.,634,635,,
