Speaker,Manx,English,SubStart,SubEnd,Notes,ManxColumnLanguage
WR,"Err, moain mie agglagh neesht.","Err, awfully good peat too.",1756,1759.5,,
JTK,Cha row mee rieau er Penny Pot.,I was never on Penny Pot.,1758.7,1760.8,,
WR,Nagh row?,Weren't you?,1760.5,1761.5,,
WC,Nagh row?,Weren't you?,1760.5,1761.5,,
JTK,Cha row.,No.,1761.2,1762,,
WR,Oh ta mish er ve ayns shen dy mennick.,Oh I have been there often.,1761.8,1764,,
JTK,Mmm.,Mmm.,1763.3,1764.5,,
WR,Shen yn boayl ta shinyn geddyn yn moain.,That's where we get the peat.,1764.4,1766.5,,
JTK,Nee?,Is it?,1766.3,1767.3,,
WR,She.,Yes.,1767,1768,,
JTK,Nee? Nee?,Is it? Is it?,1767,1768.6,,
WC,She.,Yes.,1768.4,1770,,
WR,Moain mie agglagh.,Awfully good peat.,1768.4,1771,,
JTK,Oh aye.,Oh aye.,1770.7,1772,,
WR,"Chammah as geayl, bunnys.","As good as coal, nearly.",1772,1774,,
JTK,"Mmm, as, as, as, vel shiu, vel shiu cur y geinnagh, vel geinnagh er y mullagh, mullagh oc, y moain?","Mmm, and, and, and, are you, are you putting sand, is there sand on the top, on top of them, of the peat?",1773.5,1785,,
WR,"Ogh cha nel geinnagh ayn, as ta, ta, ta ...","Ogh there isn't any sand, and there is, there is ...",1784.6,1788,,
JTK,"Ta ooyl, ooyl, ooyl.","There's apple, apple, apple.",1786,1792,,
WR,"Aye, ooyl as conney as freoaie.","Aye, apple and gorse and heather.",1791,1794.3,,
JTK,"Oh nee? As, as, as err, vel rhennagh er y, er y, moain?","Oh is there? And, and, err, are there ferns on the, on the, peat? ",1793,1797.8,,
WR,Cha nel rhennagh erbee. ,There aren't any ferns.,1797,1799,,
JTK,Cha nel?,No?,1798.8,1799.6,,
WR,"Faiyr as, as, as err as freoaie ta shen ooilley.","Grass and, and, and err and heather that's all.",1799,1803,,
JTK,Oh err.,Oh err.,1802,1803,,
WR,As ta shin goaill scrah voish yn mullagh.,And we take turf off the top.,1803,1806,,
JTK,"Oh, goaill yn scrah jeh.",Oh take the turf off.,1805.5,1807,,
WR,"Ta, ta shin goaill yn scrah jeh.","Yes, we take the turf off.",1807,1809,,
JTK,"Aye, ta moain, err, well cha s'aym, ta, vel eh moain, moain err, l- oh, fo yn, yn, yn scrah.","Aye, there's peat, err, well I don't know if there's, is there, peat, peat err, under the, the, the turf.",1808,1817,,
WR,Oh moain dy liooar.,Oh plenty of peat.,1816.6,1818.6,,
JTK,"Oh well, oh well, oh well. [coughs]","Oh well, oh well, oh well. [coughs]",1817.7,1822.5,,
DF,"Mysh, shey cass, nagh vel?","About, six feet, isn't it?",1821.3,1825,,
WC,Oh ta.,Oh yes.,1825,1826,,
WR,"Oh ta shin, ta shin goll mysh shey ny shiaght cass dowin, as ta moain ayn foast.","Oh we, we go about six or seven feet deep, and there is peat there still.",1825.5,1832,,
JTK,"Vel, vel, vel?","Is there, is there, is there?",1832,1834.6,,
WR,Cha doo as geayl.,As black as coal.,1834,1836,,
JTK,"Mmm. Ta mo- moain, ta moain, t'eh, t'eh, ta moain mie dy cur er, er, er, um, er, er, er thalloo [?]creoi.","Mmm. P- peat is, peat is, it's, it's, peat is good to put on, on, on, um, on, on, on [?]hard ground.",1836,1847,,
WR,Oh vel?,Oh is it?,1847,1848,,
JTK,Oh err ta.,Oh err yes.,1847.5,1848.7,,
WC,Mmm.,Mmm.,1848,1849,,
DF,Ta.,Yes.,1848.4,1850,,
WC,Mmm.,Mmm.,1852,1855,,
WR,"Oh tra ta'n moain shen chirrym t'eh cha creoi as, as geayl.","Oh when that peat is dry it's as hard as, as coal.",1855,1860.2,,
JTK,"Vel eh son j-, vel eh jannoo bl- blest, vel eh j-?","Does it m-, does it make a blast [=burn well], does it m-?",1860,1866,,
WR,"Oh she, she mie ...","Oh yes, yes ...",1866,1868,,
JTK,Oh vel?,Oh does it?,1867.2,1868.7,,
WR,... mie agglagh dy lostey.,... awfully good to burn.,1868,1870,,
JTK,"Oh vel, vel?","Oh is it, is it?",1869.7,1872,,
DF,Mmm.,Mmm.,1871,1872.1,,
JTK,"Oh well, ta'n, ta'n, ta'n moain ayns y clieau foddey share na'n moain ayns Balley Laghey.","Oh well, the, the, the peat in the mountain much better than the peat in Ballaugh.",1872,1877.1,,
WR,Oh foddey share.,Oh much better.,1876.6,1878,,
JTK,Ta.,Yes.,1877.7,1879,,
WC,Oh.,Oh.,1878.3,1879.2,,
JTK,"V'ad ooilley, va'd ayns, ayns, yn, v'ad baghey ayns y clieau va big creaghyn dy moain oc, well cha row ad dy bragh laccal geayl.","They were all, they were in, in, the, they were living in the mountain they had big stacks of peat. well they weren't ever lacking coal.",1879,1890,,
WR,Hmm.,Hmm.,1889.5,1890.5,,
JTK,"Ayns, ayns clieau, well there's moain, oh big creaghyn oh bunnys feedyn, feed y- yard l- long.","In, in (the) mountain, well there's peat, oh big stacks oh nearly twenties, twenty y- yard l- long.",1890.2,1899.1,,
WR,Hmm.,Hmm.,1899,1900,,
WR,Feed stundayrt.,Twenty yards.,1899.5,1901,,
JTK,"Feed stundayrt, aye.","Twenty yards, aye.",1900.5,1902.4,,
WC,She.,Yes.,1902.4,1904,,
WR,Hmm.,Hmm.,1903,1904,,
JTK,"Oh, cha row ad, v'ad ooilley, as va ram ooilley Skyll-, ooilley Skylley, Skylley Creest cur lesh yn moain voish y clieau neesht. V'eh foddey share na'n moain ayns Balley Laghey.","Oh, they weren't, they were all, and there were a lot all Kir-, all Kirk, Kirk Christ (Lezayre) bringing the peat from the mountain too. It was much better than the peat in Ballaugh.",1904,1917.6,,
WR,"Oh va, va, va, va.","Oh yes, yes, yes, yes.",1918,1921.5,,
JTK,"Va, v'ad, yn un red v'ayn as v'eh choud v'ad tayrn eh.","Yes, they were, it was [?] the same/only thing and it was as far they were dragging it.",1919.5,1925.4,,
DF,"Hmm, mmm, hmm.","Hmm, mmm, hmm.",1924.8,1928,,
WC,As ...,And ...,1931,1933,,
,,,,,,
WC,"Cre'n traa ayns y vlein v'ou goll dy geddyn yn moain, ayns, ayns yn arragh?","What time in the year were you going to get the peat, in, in the spring?",1945,1950.2,,
JTK,Cha nee.,No.,1950,1952,,
WC,Ayns y sourey?,In the summer?,1951.5,1953.4,,
JTK,"June, June.","June, June.",1952.8,1954.2,,
WC,Oh?,Oh?,1953.8,1955,,
WR,Mean y sourey eisht.,The middle of summer then.,1954.5,1956,,
JTK,"Mean, mean yn tourey.",The middle of summer.,1954.2,1957,,
WR,Mean yn tourey.,The middle of summer.,1956.8,1958,,
DF,Tourey.,Of summer.,1956.5,1958.5,,
WR,"Ta, ta.","Yes, yes.",1958,1960,,
JTK,Mmm.,Mmm.,1957.7,1960.4,,
WC,"Hmm, mmm.","Hmm, mmm.",1959,1960.4,,
JTK,As va shin cur lesh thie eh lurg yn ouyr.,And we'd bring it home after the harvest.,1960,1964.4,,
WR,Lurg yn ouyr.,After the harvest.,1963.9,1965.5,,
JTK,Aye.,Aye.,1965.1,1966.2,,
DF,Aye.,Aye.,1965,1966,,
WR,As row oo giarrey lesh faayl?,And were you cutting with a turf spade?,1966,1968,,
JTK,"V'eh, va, va.","It was, yes, yes.",1967.8,1970,,
WR,Aye.,Aye.,1969.8,1970.2,,
JTK,"Va Caine, va'n, va'n fer nagh row dooinney ny ben v'eh shen giarrey eh.","Caine was, was the, the fellow who wasn't a man nor a woman he was cutting it.",1969.7,1975.4,,
WR,"Oh, va shen yn keird echey?","Oh, that was his profession?",1975.2,1977,,
JTK,"Va, shen yn keir-, keeayl [sic = keird] echey giarrey yn moain.","That, was his pro-, sense [=profession] cutting the peat.",1976.9,1982,,
WR,"Ta, ta.","Yes, yes.",1980.7,1981.7,,
WC,Hmm.,Hmm.,1981,1982,,
WR,As quoid v'ou geeck eh?,And how much were you paying him?,1981.7,1984,,
JTK,"Oh well, v'eh three skillin, yn laa v'eh geddyn y traa shen.","Oh well, it was three shillings, a day he was getting at that time.",1983.4,1990,,
WR,Three skillin ayns y laa.,Three shillings a day.,1990,1991.3,,
JTK,"Aye, as va'n feallee va skeayley, skillin.","And the folks who were spreading, a shilling.",1991,1995.6,,
WR,Skillin y laa.,A shilling a day.,1995.6,1997,,
DF,Skillin.,A shilling.,1995.6,1997,,
JTK,Skillin yn laa.,A shilling a day.,1996.4,1998,,
WR,Son skeayley.,For spreading.,1997.5,1999,,
DF,"Hmm, hmm.","Hmm, hmm.",1998,2000,,
JTK,[coughs],[coughs],1999,2001,,
WR,Hmm.,Hmm.,2000.3,2003,,
WC,Hmm.,Hmm.,2000.3,2003,,
JTK,"Oh tra ren mee hoshiaght, tra ren mee fakin eh hoshiaght va, va yindys atchimagh er [sic] son va, va, va'n perrickyn er, as cooat er y red err. [laughs].","Oh when I first, when I saw him first I, I was terribly surprised because, he, he had petticoats on, and a coat on the thing err. [laughs]",2003,2022,,
WR,Hmm.,Hmm.,2021,2023,,
JTK,And did you ever hear of him?,And did you ever hear of him?,2022,2024.6,,en
WR,No.,No.,2024.4,2025,,
JTK,You never heard of Caine the Petticoats?,You never heard of Caine the Petticoats?,2025,2027.3,,en
WR,Cha ren mee rieau.,I never did.,2027,2028.2,,
JTK,"Cha ren, and he was neither a man nor a woman.","No, and he was neither a man nor a woman.",2027.9,2031,,
WC,Dy jarroo!,Indeed!,2030.3,2031.8,,
DF,Aye.,Aye.,2030.3,2031.8,,
JTK,"And he was dressed in women's petticoats all, petticoats and a frock and then he had a, a coat over it, over, a little ...","And he was dressed in women's petticoats all, petticoats and a frock and then he had a, a coat over it, over, a little ...",2031,2041,,en
WC,Aye?,Aye?,2040.8,2042,,
JTK,"... little jacket over it, like, and a hat and all on him, and bits of whiskers on his, sides of his cheek here.","... little jacket over it, like, and a hat and all on him, and bits of whiskers on his, sides of his cheek here.",2041.3,2048.7,,en
WC,Uhuh.,Uhuh.,2048,2049,,
JTK,Aye.,Aye.,2048.8,2050.2,,
DF,"V'eh goll-rish ben, vel eh?","He was like a woman, is he?",2050,2051.3,,
JTK,What?,What?,2051.2,2052,,
DF,V'eh goll-rish ben?,He was like a woman?,2052,2053.2,,
JTK,"Va, va, v'eh goll-rish dy bee ben erbee dy row cooat er.","Yes, yes, he was like any woman that had a coat on.",2053,2057,,
DF,Ahah.,Ahah.,2056.7,2057.8,,
JTK,"And I'll tell you where he was living, you'll know Gob y Vollee?","And I'll tell you where he was living, you'll know Gob y Vollee?",2057.4,2062,,en
WC,"Oh she, she, she.","Oh yes, yes, yes.",2062,2063.5,,
JTK,"Well, v'eh, v'eh, Gob y Vollee, well he was living over in a house and it's fell, and it's by the right-hand side of the road.","Well, he was, he was, Gob y Vollee, well he was living over in a house and it's fell, and it's by the right-hand side of the road.",2063,2074,,
WC,Hmm?,Hmm?,2074,2075,,
JTK,Before you come to Ballacrye.,Before you come to Ballacrye.,2074.4,2077.6,,en
WC,Is it called the Rock?,Is it called the Rock?,2077,2079,,en
JTK,What?,What?,2078.4,2079.4,,
WC,Is it called the Rock?,Is it called the Rock?,2079,2081,,en
JTK,No.,No.,2080.2,2081,,
WC,Oh.,Oh.,2081,2082,,
JTK,"The Rock, the, Killip the Rock is there nearly, but then it's over Ballaugh side of that.","The Rock, the, Killip the Rock is there nearly, but then it's over Ballaugh side of that.",2081,2087,,en
WC,Ahah.,Ahah.,2087,2088,,
JTK,And the ruins is still there and he was living in a thatched house there.,And the ruins is still there and he was living in a thatched house there.,2087,2091.2,,en
WC,Uhum.,Uhum.,2091,2092,,
JTK,"You'll see the ruins if ever you be going past, on your right-hand side that there past the Rock.","You'll see the ruins if ever you be going past, on your right-hand side that there past the Rock.",2092,2098,,en
WC,Oh ta mee er n'akin eh. She.,Oh I have seen it. Yes.,2098,2101,,
JTK,"Yeah, nee, nee oo, nee shiu fakin eh ayns shen.","Yeah, you, you'll, you will see it there.",2100,2103,,
WC,Ta mish er fakin eh.,I've seen it.,2103,2104.5,,
JTK,Ta.,Yes.,2104.1,2105.2,,
WC,Ta.,Yes.,2104,2105,,
JTK,"Err, nee, roish, roish nee shiu, roish nee shiu cheet dys Ballacrye.","Err, before, before you, before you come to Ballacrye.",2105,2111,,
WC,"Ta, t'eh tholtan t'ayn nish.","Yes, it's a ruin there now.",2111,2113,,
JTK,"Tholtagyn, tholtagyn t'ayn nish. Ta'n, ta'n, paart jeh'n thie ayn agh t'eh ooilley lhieggit, as ...","Ruins, ruins there now. There is, there is, some of the house there but it's all knocked down, and ...",2112.4,2120.2,,
WC,"Ta, ooilley brisht.","Yes, all broken.",2119.2,2121,,
JTK,Va garey echey as ooilley.,It had a garden and everything.,2120.4,2122.5,,
WC,Ta.,Yes.,2122,2123,,
JTK,"As v'eh son, v'eh son, v'eh son, v'eh son buinn traagh lesh yiarn chammah dooinney erbee.","And he could, he could, he could, he could cut hay with a scythe as well as any man.",2123,2133,,
WC,Row?,Could he?,2132.5,2133,,
JTK,"Va, buinn lesh yiarn, yiarn folderagh ...","Yes, cutting with a scythe, a scyth ...",2133.4,2137,,
WR,Va.,Yes.,2136,2137,,
JTK,... buinn traagh ...,... cutting hay ...,2136.2,2138,,
DF,"Hmm, mmm.","Hmm, mmm.",2137,2139,,
JTK,"... as v'eh buinn traagh as v'eh, ta, v'eh jannoo ayns y moain, shen v'eh as, v'eh giarrey eh.","... and he was cutting hay and he was, yes, he was doing (it) in the peat, that he was and, he was cutting it.",2137.5,2146,,
WR,"Hmm, mmm.","Hmm, mmm.",2145,2147,,
WC,Mmm.,Mmm.,2145,2147,,
JTK,Shen yn red v'eh jannoo.,That's what he was doing.,2146,2147.7,,
WC,Hmm.,Hmm.,2147,2148,,
DF,"Mmm, mmm.","Mmm, mmm.",2147.9,2149.2,,
WR,Ha hmm.,Ha hmm.,2149,2150,,
WC,Cha row eh poost?,He wasn't married?,2150,2152,,
JTK,Cha row oh [laughs],No oh [laughs],2151.2,2155.3,,
WC,"Ta, [laughs] baghey ny lomarcan?","Yes, [laughs] lived alone?",2152,2156.2,,
JTK,Oh ooilley traa ny lomarcan.,Oh all the time alone.,2155.3,2159,,
DF,Mmm.,Mmm.,2158.4,2160,,
WC,Mmm.,Mmm.,2158.4,2160,,
WR,Hmm.,Hmm.,2160,2161,,
JTK,"Ta, well ooilley traa va enn aym er ansh erbee, but, roish shen va'n mummig marish.","Yes, well all the time I knew him anyway, but before that the mother was with him.",2160,2167,,
WC,Hmm.,Hmm.,2166.9,2168,,
WR,Mmm.,Mmm.,2167,2169,,
WC,Haha oh.,Haha oh.,2168,2170,,
JTK,Have you never heard of him?,Have you never heard of him?,2169,2171.5,,en
WC,"Oh, cha nel!","Oh, no!",2171,2173,,
WR,Cha ren mee rieau!,I never did!,2171,2173,,
JTK,"He was neither a man nor a woman, he was what they called a 'moffet head' of.","He was neither a man nor a woman, he was what they called a 'moffet head' of.",2172.5,2177,"See moffie, mophy, morphodite < hermaphrodite in OED",en
WC,[laughs],[laughs],2177,2179,,
WR,[laughs],[laughs],2177,2179,,
JTK,"That's, that's the English of it.","That's, that's the English of it.",2177.5,2179.4,,en
DF,C'red shen?,What's that?,2179,2180,,
JTK,A 'moffet head'.,A 'moffet head'.,2180,2181.3,,
DF,Oh dy jarroo! [laughs],Oh indeed!,2181,2182.4,,
WC,Shen dooinney quaagh.,That's an odd man.,2182.4,2184,,
JTK,[laughs],[laughs],2184,2186,,
WC,V'eh dooinney quaagh dy liooar!,He was quite an odd man!,2184.5,2186,,
JTK,"[laughs] I've got the English of it, I haven't know what the, what Manx for to put on that.","[laughs] I've got the English of it, I haven't know what the, what Manx for to put on that.",2186,2191,,en
DF,Oh cha s'aym edyr!,Oh I don't know at all!,2191,2193,,
JTK,[laughs],[laughs],2192,2194.5,,
WR,Lieh dooinney as lieh ben.,Half man and half woman.,2194,2196,,
JTK,"Oh dooinney eh hene, oh lieh, lieh dooinney lieh ven.","Oh a man himself, oh half, half man half woman.",2195,2199,,
DF,Lieh ben.,Half woman.,2197,2200,,
JTK,Ah but ...,Ah but ...,2199,2204,,
