Manx,English,Manx Original,Notes,Date,Source
cruit,hump,crooch,"[M.H., 17/101877]",17/10/1877,Mona's Herald
[wis a] whillian [ghooilian??],[with a whoosh??],,"[M.H., 17/101877]",17/10/1877,Mona's Herald
bine beg,a little drop,,"[M.H., 17/101877]",17/10/1877,Mona's Herald
Crosh Darrig,Cross of Oak,,"[Juan y Jagged Keir gives this as the nickname of a certain ‘tailor, ... Foreman of a Cabbage and Goose Society, Chairman of a Watch Club’. ‘Chrosh’ means cross, ‘Darrig’, here is likely [darragh] ‘oak’. ‘Cross of Oak’.]",17/10/1877,Mona's Herald
,,,"[M.H., 17/10/1877]",17/10/1877,Mona's Herald
bine beg,little sip,,"[M.H., 17/10/1877]",17/10/1877,Mona's Herald
bock bane,white pony,,"[M.H., 17/10/1877]",17/10/1877,Mona's Herald
Billy ny Jalloo,Billy of the Pictures / Images / Statues.,Billy na Jallew,"[M.H., 17/10/1877]",17/10/1877,Mona's Herald
“Bock bane ny [??] goll sheese yn bayr”,“The white gelding of the [??] going down the road”,“Bock-bane-na-Chanie doll shish an beyr”,"[M.H., 03/04/1878]",03/04/1878,Mona's Herald
Bretnagh,A Welshman,,"[M.H., 03/04/1878]",03/04/1878,Mona's Herald
chune,a tune,,"[M.H., 03/04/1878]",03/04/1878,Mona's Herald
cledge,bran,Cletch,"[M.H., 03/04/1878]",03/04/1878,Mona's Herald
cumraag,a companion / a comrade,comrage,"[M.H., 03/04/1878]",03/04/1878,Mona's Herald
Cronk garroo,Rough Hill,Cronk-garrow,"[M.H., 03/04/1878]",03/04/1878,Mona's Herald
,,,,,
Bea as maynrys,Life and Happiness,,"[‘Christmas at the Asylum’: M.S., 28/12/1878]",28/12/1878,The Manx Sun
"“As dooyrt eh daue, lhig shiu dy gholl shaghey yn scrieu choontee, as scrieu kiare feed thousane punt son lhiastynys Phurt Yiarn.”","“And he said to them, neglect the budget, and write (issue) eighty thousand pounds for Port Erin’s debt.”",,"[‘THE PORT ERIN AGITATION.’ M.S., 01/02/1879]",01/02/1879,The Manx Sun
Adam Clark an Wesler,Adam Clarke the Wesleyite,,[M.S. 05/02/1881],05/02/1881,The Manx Sun
Ballaf ,Ballaugh,,[M.S. 05/02/1881],05/02/1881,The Manx Sun
Dawby,Dalby,,[M.S. 05/02/1881],05/02/1881,The Manx Sun
doaieagh coar,decent and agreeable,doiagh coar,"[M.S., 26/02/1881]",26/02/1881,The Manx Sun
Dooinney veen,Dear man,Donney veen,"[M.S., 26/02/1881]",26/02/1881,The Manx Sun
Boy lah veen,Dear boy,Bolley veen,"[Broderick, G. says this was a common address used by native speakers and fluent L2 speakers of Late Spoken Manx.]",26/02/1881,The Manx Sun
,,,"[M.S., 26/02/1881]",26/02/1881,The Manx Sun
Lah,Lad (term for adressing a man),,"[M.S., 26/02/1881]",26/02/1881,The Manx Sun
Langlish,Langness,,"[M.S.,15/10/1881]",15/10/1881,The Manx Sun
langlish,stone jetty,,[IoME 11/03/1899],11/03/1899,Isle of Man Examiner
jarrood,reverie,jerrude,[IoME 11/03/1899],11/03/1899,Isle of Man Examiner
lhiannan-shee,Queen o’ the Fairies,lhananshie,[IoME 11/03/1899],11/03/1899,Isle of Man Examiner
gennal,genial,,[IoME 11/03/1899],11/03/1899,Isle of Man Examiner
gobbag,dog-fish,govag,[IoME 11/03/1899],11/03/1899,Isle of Man Examiner
perkin-beg,little porpoise,,[IoME 11/03/1899],11/03/1899,Isle of Man Examiner
"Ramsar, Romsar",Ramsey,,"[‘Juan Glass’ M.S., 15/10/1881]",15/10/1881,The Manx Sun
Douglas,Dhoolish,,"[‘Juan Glass’ M.S., 15/10/1881]",15/10/1881,The Manx Sun
Mithar,Mitre (pub),,"[‘Juan Glass’ M.S., 15/10/1881]",15/10/1881,The Manx Sun
Maahal,Maughold,,"[‘Juan Glass’ M.S., 15/10/1881]",15/10/1881,The Manx Sun
Andhres ,Andreas,,"[‘Juan Glass’ M.S., 15/10/1881]",15/10/1881,The Manx Sun
praase as skaddan,potato and herring,,"[‘Juan Glass’ M.S., 15/10/1881]",15/10/1881,The Manx Sun
jamaca,Jamaica (rum),,"[‘Juan Glass’ M.S., 15/10/1881]",15/10/1881,The Manx Sun
gilley,boy,,"[‘Juan Glass’ M.S., 15/10/1881]",15/10/1881,The Manx Sun
dyn myghyn,merciless,dhen veghin,"[‘Juan Glass’ M.S., 15/10/1881]",15/10/1881,The Manx Sun
shee bannee Betty boght,God bless poor Betty,shee bannee Betty bogh,"[‘Juan Glass’ M.S., 15/10/1881]",15/10/1881,The Manx Sun
bystakle,Bicycle,,"[‘Juan Glass’ M.S., 15/10/1881]",15/10/1881,The Manx Sun
Langlish,Langness,,"[‘Juan Glass’ M.S., 15/10/1881]",15/10/1881,The Manx Sun
Tom y Thrump,Tom the ?? [Trumpet?],Tom the Thrump,"[‘Juan Glass’ M.S., 15/10/1881]",15/10/1881,The Manx Sun
cooill faddhag [fedjag ??],?? [tail feather? pen feather? pen?],,"[‘Juan Glass’ M.S., 15/10/1881]",15/10/1881,The Manx Sun
cooish,a chat,,"[M.S., 30/04/1881]",30/04/1881,The Manx Sun
cooyrt,court,coort,"[M.S., 30/04/1881]",30/04/1881,The Manx Sun
cartagh (kiartagh),a chore,,"[M.S.,08/10/1881]",08/10/1881,The Manx Sun
cooish,A chat,,"[M.S.,08/10/1881]",08/10/1881,The Manx Sun
coar,agreeable,coor,"[M.S.,08/10/1881]",08/10/1881,The Manx Sun
Cretoor millish,Sweet creature,Cradhoor millish,"[M.S.,08/10/1881]",08/10/1881,The Manx Sun
Hop-thu-Naah,Hop-Tu-Naa,,"[‘Nan-A-Creggan’s Christmas Eve’ by Juan Lewin; M.H., 07/01/1880]",07/01/1880,Mona's Herald
,,,,,
Houl Dhou (Howl Doo),(of the) Black Hole,,"[M.H., 07/01//1880]",07/01/1880,Mona's Herald
Injey,India,,"[M.H., 07/01//1880]",07/01/1880,Mona's Herald
,,,,,
Tom yn Eayst Noa,Tom of the New Moon,Tom yn East Noa,"[M.S., 15/10/1881]",15/10/1881,The Manx Sun
Port Iron,Port Erin,,"[M.S., 15/10/1881]",15/10/1881,The Manx Sun
Jonny yn Fillys,Jonny of the Lapping up / Folding,Jonny yn Fillis,"[M.S., 15/10/1881]",15/10/1881,The Manx Sun
Crosh Vusther,Muster Cross,,"[M.S., 15/10/1881]",15/10/1881,The Manx Sun
Eary-steithyn,Earystane — [Eary] ‘open airy place’ ,,"[M.S., 15/10/1881]",15/10/1881,The Manx Sun
boy veen,dear boy,,"[M.S., 15/10/1881]",15/10/1881,The Manx Sun
Jerude,state of forgetfulness,,"[M.S., 15/10/1881]",15/10/1881,The Manx Sun
Tom Beg yn Fidder,Little Tom the Weaver,,"[M.S., 15/10/1881]",15/10/1881,The Manx Sun
staghylys,clumsiness,,"[M.S., 15/10/1881]",15/10/1881,The Manx Sun
crosh as tessan,across and athwart [back and forth [??]],crosh and tessan,"[M.S., 15/10/1881]",15/10/1881,The Manx Sun
prung,prong [of a fork],,"[M.S., 15/10/1881]",15/10/1881,The Manx Sun
Veih slieau ny claghyn baney,From the the Mountain of the White Stones,Vieh slieau yn clagen baney,"[M.S., 15/10/1881]",15/10/1881,The Manx Sun
,,,,,
"Shoh nane as, shoh nane elley","Here’s one, and here’s another [‘the way Jemmy Dach used to count herrings’]","Shoh nane oss, shoh nane ellah","[M.S., 15/10/1881]",15/10/1881,The Manx Sun
Jim John,"Jim, son of John",,"[M.S., 15/10/1881]",15/10/1881,The Manx Sun
Juanny y ’Riggin,"Juany the Bristle [or ‘Barb’, ‘Sharp Fin’, etc]",Juanney y Reiggan,"[M.S., 15/10/1881]",15/10/1881,The Manx Sun
“Loch a daa ...”,[an interjection call to gain attention],,"[M.S., 15/10/1881]",15/10/1881,The Manx Sun
Tom yn Ollan,Tom the Wool,Tom yn Ollen,"[M.S., 15/10/1881]",15/10/1881,The Manx Sun
Tom Beg yn Fidder,Little Tom the Weaver / Tom the Weaver Jr.,,"[M.S., 15/10/1881]",15/10/1881,The Manx Sun
bailee,bailiff,,"[M.S., 15/10/1881]",15/10/1881,The Manx Sun
