English,Manx,Notes
"Additionally, they have overseen the publication of translations of Beatrix Potter’s The Tale of Jemima Puddleduck and The Tale of Tom Kitten by young speakers and have contributed digitised archive material to the Manx Corpus Search website.","Ny sodjey, t’ad er n’oaseiraghey cur magh çhyndaayssyn jeant liorish loayrtee aegey jeh The Tale of Jemima Puddleduck as The Tale of Tom Kitten liorish Beatrix Potter. Chammah’s shoh t’ad er chur tooilley cooid ass y tashtey-recortys ayns cummey bun-earrooagh er ynnyd-eggey y Chorpus Gaelgagh.",
Dr Christopher Lewin is actively working on a new edition of Edmund Goodwin's First Lessons in Manx for Yn Cheshaght Ghailckagh (Manx Language Society).,Ta Dr. Christopher Lewin gobbragh dy breeoil er cur magh noa jeh First Lessons in Manx liorish Edmund Goodwin son Yn Çheshaght Ghailckagh.,
"Additionally, Professor Max W. Wheeler's new edition of Pargeiys Caillit (Paradise Lost) is nearing publication, also to be released by Yn Cheshaght Ghailckagh.","Chammah’s shen ta cur magh noa yn Olloo Max W. Wheeler jeh Pargeiys Caillit bunnys aarloo dy ve prentit, vees currit magh liorish Yn Çheshaght Ghailckagh neesht.",
"The Manx Corpus website has grown significantly and now contains 1,826,332 words spanning 719 documents.","Ta ynnyd-eggey yn Chorpus Gaelgagh er n’aase dy jarroo as nish t’eh cummal 1,826,332 dy ‘ocklyn voish 719 dy ghocamadyn.",
"This includes a substantial portion of printed material from the eighteenth century, such as the Bible, as well as numerous shorter items, both printed and manuscript, from the nineteenth century.","Ta shoh goaill stiagh cooid vooar dy stoo prentit veih’n hoghtoo cheead jeig, myr yn Vible, as earroo mooar dy heksyn s’girrey, chammah prentit as ayns cummey laue-screeuyn, veih’n nuyoo cheead jeig.",
"A selection of material from the twentieth century to the present, primarily from magazines and newspapers, has also been incorporated.","Ta reih dy heksyn veih’n ‘eedoo cheead gys y laa t’ayn nish, earishlioaryn as pabyryn-naight son y chooid smoo, er ve currit stiagh neesht.",
"Furthermore, a pilot sample of timestamped audio-visual material, including interviews and native speaker recordings, has been added to the corpus.","Ny sodjey, ta sambyl prowallagh jeh cooid eaishtagh-jeeaghyn lesh cowraghyn-traa, goaill stiagh quaaltyssyn as recortyssyn jeh loayrtee dooghyssagh er ve currit stiagh ayns y Chorpus.",
"Most of these materials are bilingual, featuring either the original English text or a new translation, and are fully searchable in both languages.","Ta’n chooid smoo jeh’n stoo shoh daa-hengagh, eddyr lesh yn teks bunneydagh Baarlagh ny lesh çhyndaays noa, as foddee sleih ronsagh ayns y daa ghlare.",
"As part of the Aberystwyth University Manx sermon project which several Possan Ronsee Gaelgagh members have been involved with, 90 eighteenth century manuscript sermons have been digitally transcribed and will be added to the corpus in due course.","Myr ayrn jeh shalee sharmaneyn Gaelgagh Ollooscoill Aberystwyth, aynjee ghow shiartanse dy olteynyn y Phossan Ronsee Gaelgagh ayrn, hie kiare-feed as jeih sharmaneyn ayns cummey laue-screeuyn veih’n nuyoo cheead jeig er mac-screeu er aght bun-earrooagh as bee ad er nyn goyrt gys y Chorpus roish foddey.",
"This project was funded by the British Academy, Leverhulme Trust and Culture Vannin.","Va argid kiarit cour y çhalee shoh liorish yn Academee Goaldagh, Treisht Leverhulme as Culture Vannin.",
They are exploring potential funding sources which would allow some of the work on the Corpus to be carried out.,T’ad ronsaghey farraneyn argidoil possibyl yinnagh lhiggey da paart jeh’n obbyr er y Chorpus ve cooilleenit.,
"Culture Vannin has developed new resources, including an interactive place names map designed to assist with pronunciation.","Ta Culture Vannin er chroo couyryn noa, ny mast’oc ta map eddyr-obbragh dy enmyn buill ta kiarit dy chooney lesh fockley magh.",
"This includes an alphabetised section featuring hundreds of house names in Manx, aiding the community in understanding and using these names with English-Manx and Manx-English translations, along with sound files.","Ta shoh goaill stiagh rheynn abbyrlhitagh lhome-lane dy enmyn thie ayns Gaelg, vees cooney lesh y phobble dy hoiggal as jannoo ymmyd jeh ny henmyn shoh, ta çhyndaayssyn Baarle-Gaelg as Gaelg-Baarle ayn chammah’s coadanyn sheean.",
The Spoken Dictionary section has been expanded with a substantial number of additional sound files.,Ta’n Fockleyr Loayrit er ve jeant ny smoo as earroo feeu baght dy choadanyn sheean noa er nyn goyrt stiagh.,
"Storfys, a database of Manx language resources, is now available in digital format, and is accessible to all Jeebin members through Microsoft Teams.","Ta ‘Stoyr-fys’, stoyr-fysseree dy chouyryn Gaelgagh ry-gheddyn nish ayns cummey bun-earrooagh, as t’eh foshlit da dy chooilley oltey jeh Jeebin trooid Microsoft Teams.",
